Date,Booking text,ZKB reference,Reference number,Debit CHF,Credit CHF,Value date,Balance CHF
16.01.2026,Zara Clothing Purchase,ZKB/A4B2AFB9,6769295224,64.42,,16.01.2026,-51.65
17.01.2026,Swisscom Mobile Subscription,ZKB/E471F9D3,0095196497,6.4,,17.01.2026,6906.01
17.01.2026,Mastercard Retail Purchase – Pharmacy purchase at Amavita,ZKB/575F3CCC,1758419588,109.03,,17.01.2026,6482.27
19.01.2026,Haircut at GIDOR Coiffure,ZKB/A36F2F1E,1887524314,214.19,,19.01.2026,7407.12
19.01.2026,Gas purchase at AVIA,ZKB/8CB08EDC,5914288720,195.47,,19.01.2026,-548.67
19.01.2026,Google Pay Transaction – Coop Supermarkt Shopping,ZKB/FA259A2B,1041102973,220.65,,19.01.2026,-2039.45
20.01.2026,CSS Health Insurance Premium,ZKB/5264DB18,2883991727,89.89,,20.01.2026,2777.75
20.01.2026,Rent payment to Wohnungsverwaltung Zürich,ZKB/FBF8EEC7,9574776572,184.92,,20.01.2026,1431.73
20.01.2026,Building Maintenance Fee,ZKB/6AA97FEA,9244091161,9.35,,20.01.2026,700.26
20.01.2026,Coffee at Starbucks Zürich,ZKB/C6B70CB6,9128165818,184.46,,20.01.2026,-733.13
21.01.2026,VISA Online Payment – Sunrise Internet Bill,ZKB/C64BD83E,6952556560,257.18,,21.01.2026,8517.51
21.01.2026,Globus Fashion Store,ZKB/D446DC53,3414839079,240.72,,21.01.2026,4256.85
21.01.2026,Donation to Swiss Red Cross,ZKB/87AED734,3624675077,147.64,,21.01.2026,3662.11
21.01.2026,Google Pay Transaction – Building Maintenance Fee,ZKB/B921CFBF,4270074187,250.74,,21.01.2026,1180.99
21.01.2026,CSS Health Insurance Premium,ZKB/7F195B96,9397126886,225.35,,21.01.2026,-353.2
22.01.2026,Coop Supermarkt Shopping,ZKB/7183935D,3543222787,163.4,,22.01.2026,5195.09
22.01.2026,Migros Einkauf,ZKB/4997E6ED,4429416757,247.25,,22.01.2026,3256.71
23.01.2026,Donation to Swiss Red Cross,ZKB/18358D04,3843297420,90.45,,23.01.2026,8069.43
23.01.2026,Quarterly Tax Payment to Steueramt Zürich,ZKB/F065EC6E,4018409873,261.23,,23.01.2026,7621.31
23.01.2026,Hobby Supplies Purchase,ZKB/A0674F7E,1986358454,163.78,,23.01.2026,6181.3
23.01.2026,Credit Card Bill Payment,ZKB/0D9F24CB,8477206657,143.68,,23.01.2026,2207.52
23.01.2026,Mastercard Retail Purchase – Gas purchase at AVIA,ZKB/1B152047,2235951117,7.59,,23.01.2026,692.67
23.01.2026,Denner Lebensmittel,ZKB/E4E801A8,1478980856,276.27,,23.01.2026,-1355.31
23.01.2026,Pharmacy purchase at Amavita,ZKB/CC80D87B,7126462843,147.19,,23.01.2026,-2427.29
24.01.2026,Zürich Water Utility Payment,ZKB/D9A9E5E7,9309339294,173.15,,24.01.2026,7896.28
24.01.2026,Mastercard Retail Purchase – CSS Health Insurance Premium,ZKB/A9292C8D,9278093599,90.98,,24.01.2026,2116.54
24.01.2026,Dentist visit at Zurich Dentistry Group,ZKB/FE20D57C,7260466490,292.97,,24.01.2026,1823.57
24.01.2026,VISA Online Payment – Dentist visit at Zurich Dentistry Group,ZKB/266E59BA,8488503677,224.41,,24.01.2026,-2651.7
25.01.2026,Donation to Swiss Red Cross,ZKB/9AC1C844,0893395443,181.82,,25.01.2026,-2221.27
27.01.2026,Rent payment to Wohnungsverwaltung Zürich,ZKB/B5CDCB59,2567040283,2400,,27.01.2026,9100
27.01.2026,Pharmacy purchase at Amavita,ZKB/EF216534,7639598444,61.05,,27.01.2026,5571.66
28.01.2026,Gas purchase at AVIA,ZKB/4C0F1299,7985574662,181.57,,28.01.2026,8159.88
28.01.2026,Globus Fashion Store,ZKB/F6F0B8D2,0177164913,277.49,,28.01.2026,-1010.62
