Date,Booking text,ZKB reference,Reference number,Debit CHF,Credit CHF,Value date,Balance CHF
11.12.2025,Pharmacy purchase at Amavita,ZKB/B9C2E938,0561511961,39.83,,11.12.2025,2886.77
12.12.2025,TWINT Purchase – Investment Transfer to Trading Account,ZKB/BA14B5E3,9918073200,185.01,,12.12.2025,8119.87
12.12.2025,3a Pillar Savings Contribution,ZKB/EE1EDBD4,7464368645,47.77,,12.12.2025,8072.1
12.12.2025,Gift purchase at Orell Füssli,ZKB/D92A480A,8912140453,270.1,,12.12.2025,7405.43
13.12.2025,Donation to Swiss Red Cross,ZKB/276DF534,5333269511,180.45,,13.12.2025,6918.54
13.12.2025,Mastercard Retail Purchase – Donation to Swiss Red Cross,ZKB/649A6C80,6529880930,280.27,,13.12.2025,4202.66
13.12.2025,Mastercard Retail Purchase – Globus Fashion Store,ZKB/7EFA107C,7265980851,180.3,,13.12.2025,570.86
13.12.2025,Hobby Supplies Purchase,ZKB/3A65D597,9171292579,237.19,,13.12.2025,181.1
13.12.2025,VISA Online Payment – Swisscom Mobile Subscription,ZKB/0719EBC6,0534597724,98.54,,13.12.2025,-1026.77
14.12.2025,Haircut at GIDOR Coiffure,ZKB/BD0908DD,6892392115,75.31,,14.12.2025,5296.73
14.12.2025,Quarterly Tax Payment to Steueramt Zürich,ZKB/4ED70DC2,7816413052,50.41,,14.12.2025,1916.04
14.12.2025,Google Pay Transaction – Building Maintenance Fee,ZKB/4FAEAAB8,2504718107,287.03,,14.12.2025,-2283.64
15.12.2025,Parking Fee Zürich,ZKB/8D81D470,7348466302,93.55,,15.12.2025,-108.74
16.12.2025,Gift purchase at Orell Füssli,ZKB/86C214B1,4300156163,44.1,,16.12.2025,7862.83
16.12.2025,Pharmacy purchase at Amavita,ZKB/4FB454AC,9553251123,187.3,,16.12.2025,7675.53
16.12.2025,Zara Clothing Purchase,ZKB/89ADAB50,2066847773,298.32,,16.12.2025,2151.15
17.12.2025,EWZ Electricity Bill,ZKB/FB09842B,0457344572,28.78,,17.12.2025,6316.2
17.12.2025,ZVV Monthly Pass Purchase,ZKB/3D2D478C,6940806541,13.12,,17.12.2025,5786.23
17.12.2025,VISA Online Payment – ZVV Monthly Pass Purchase,ZKB/EE741432,9921997194,36.45,,17.12.2025,418.29
18.12.2025,TWINT Purchase – 3a Pillar Savings Contribution,ZKB/BCBF25F4,5247712978,134.39,,18.12.2025,3422.81
18.12.2025,Google Pay Transaction – Gift purchase at Orell Füssli,ZKB/D8C66E3C,1092023503,139.64,,18.12.2025,3084.38
19.12.2025,3a Pillar Savings Contribution,ZKB/F7D336A2,6124043143,217.26,,19.12.2025,4642.53
19.12.2025,Gift purchase at Orell Füssli,ZKB/B4529637,2685732809,206.35,,19.12.2025,-315.09
20.12.2025,Google Pay Transaction – Donation to Swiss Red Cross,ZKB/C2AEE3B4,5209220318,138.69,,20.12.2025,2748.08
20.12.2025,EWZ Electricity Bill,ZKB/219DC51A,7451969320,136.74,,20.12.2025,751.16
21.12.2025,Donation to Swiss Red Cross,ZKB/B73BC58C,4674240031,95.13,,21.12.2025,7976.97
21.12.2025,Pharmacy purchase at Amavita,ZKB/AAA56F3B,7187772328,292.24,,21.12.2025,6344.98
21.12.2025,EWZ Electricity Bill,ZKB/36757981,0111105924,297.58,,21.12.2025,3905.08
21.12.2025,Credit Card Bill Payment,ZKB/40C41830,8082877152,185.27,,21.12.2025,-1689.69
21.12.2025,Gift purchase at Orell Füssli,ZKB/A7F175A4,9042979670,188.29,,21.12.2025,-1877.98
22.12.2025,Car Insurance Bill,ZKB/20F36744,4704877990,88.8,,22.12.2025,7098.99
22.12.2025,VISA Online Payment – Car Insurance Bill,ZKB/4F3C1D9F,2594256454,91.72,,22.12.2025,6750.76
22.12.2025,EWZ Electricity Bill,ZKB/85DB8213,9918235441,273.07,,22.12.2025,-1299.84
23.12.2025,VISA Online Payment – CSS Health Insurance Premium,ZKB/F771CDC3,5143760581,138.0,,23.12.2025,1578.77
24.12.2025,Building Maintenance Fee,ZKB/65C33B11,8354197703,265.15,,24.12.2025,8304.88
24.12.2025,Quarterly Tax Payment to Steueramt Zürich,ZKB/3EDE49AF,5569981982,163.31,,24.12.2025,5133.42
24.12.2025,TWINT Purchase – Donation to Swiss Red Cross,ZKB/1C0D0854,1330532732,89.36,,24.12.2025,4482.93
25.12.2025,Doctor visit at Permanence Hauptbahnhof,ZKB/94DD5BA7,1227112645,70.63,,25.12.2025,8570.03
25.12.2025,Building Maintenance Fee,ZKB/EADE1715,1052829217,87.88,,25.12.2025,1265.7
25.12.2025,Sunrise Internet Bill,ZKB/D18D967F,5669092155,204.97,,25.12.2025,-520.06
26.12.2025,Rent payment to Wohnungsverwaltung Zürich,ZKB/F5110336,8089665929,2400,,26.12.2025,9100
26.12.2025,Denner Lebensmittel,ZKB/0399875F,3317582816,28.02,,26.12.2025,7948.95
26.12.2025,Doctor visit at Permanence Hauptbahnhof,ZKB/0BA21DA9,8987527158,113.54,,26.12.2025,6637.22
26.12.2025,Globus Fashion Store,ZKB/75979077,4598116035,95.17,,26.12.2025,3327.64
26.12.2025,Mastercard Retail Purchase – Sunrise Internet Bill,ZKB/51F73F08,1626991945,88.96,,26.12.2025,1716.77
26.12.2025,Gas purchase at AVIA,ZKB/04C5564A,1712365466,225.19,,26.12.2025,1353.58
26.12.2025,Gift purchase at Orell Füssli,ZKB/08EBAEA8,3023755687,196.29,,26.12.2025,-15.19
26.12.2025,Zara Clothing Purchase,ZKB/DD553879,6795091409,118.63,,26.12.2025,-1996.61
27.12.2025,ZVV Monthly Pass Purchase,ZKB/5DA37E3E,5051398375,262.02,,27.12.2025,8837.98
27.12.2025,Travel Booking via SBB,ZKB/664BAF97,8433377910,117.34,,27.12.2025,3557.2
27.12.2025,Parking Fee Zürich,ZKB/CC5391C4,2189984973,184.7,,27.12.2025,1966.45
28.12.2025,TWINT Purchase – Migros Einkauf,ZKB/BE97C4C6,1552568011,157.78,,28.12.2025,2926.6
28.12.2025,Drogerie Müller,ZKB/955E16BC,2190241410,72.63,,28.12.2025,1069.3
