Date,Booking text,ZKB reference,Reference number,Debit CHF,Credit CHF,Value date,Balance CHF
11.11.2025,3a Pillar Savings Contribution,ZKB/32237D17,0979430475,162.92,,11.11.2025,-3831.91
12.11.2025,Sunrise Internet Bill,ZKB/A9ECAE81,9909110999,208.03,,12.11.2025,6968.77
12.11.2025,Zürich Water Utility Payment,ZKB/205C0159,6265718076,147.18,,12.11.2025,1505.08
12.11.2025,Mastercard Retail Purchase – Zara Clothing Purchase,ZKB/E6E6C493,5560926056,292.69,,12.11.2025,-488.23
13.11.2025,Gas purchase at AVIA,ZKB/D576DCFF,1683262092,264.21,,13.11.2025,-1349.23
14.11.2025,VISA Online Payment – Migros Einkauf,ZKB/E1DDA5CB,0173506074,83.78,,14.11.2025,555.33
14.11.2025,Swisscom Mobile Subscription,ZKB/D546154E,6639916445,82.8,,14.11.2025,-2962.73
14.11.2025,Doctor visit at Permanence Hauptbahnhof,ZKB/615D6881,7918869293,128.07,,14.11.2025,-3959.98
14.11.2025,Gift purchase at Orell Füssli,ZKB/CD53D5A2,3904960393,277.35,,14.11.2025,-4697.98
15.11.2025,Migros Einkauf,ZKB/5B36DD3D,5738127490,215.16,,15.11.2025,7663.9
15.11.2025,VISA Online Payment – Drogerie Müller,ZKB/5F72A970,3739402965,292.31,,15.11.2025,-963.53
16.11.2025,Coffee at Starbucks Zürich,ZKB/785A071F,6577435874,100.3,,16.11.2025,-1449.53
16.11.2025,Globus Fashion Store,ZKB/7FEF7875,1890382063,18.52,,16.11.2025,-2470.21
17.11.2025,Car Insurance Bill,ZKB/E9175C52,4328516508,257.89,,17.11.2025,2755.91
17.11.2025,TWINT Purchase – Denner Lebensmittel,ZKB/86DC6A15,4585625863,212.9,,17.11.2025,1106.86
18.11.2025,Donation to Swiss Red Cross,ZKB/526127BC,4896554152,142.08,,18.11.2025,4619.83
18.11.2025,Gift purchase at Orell Füssli,ZKB/C3D85F4A,9180739569,83.5,,18.11.2025,-2723.16
18.11.2025,Pharmacy purchase at Amavita,ZKB/DBED5F1D,9630518606,209.34,,18.11.2025,-3172.07
19.11.2025,Doctor visit at Permanence Hauptbahnhof,ZKB/ED747B33,8865907518,265.56,,19.11.2025,8236.91
19.11.2025,Swisscom Mobile Subscription,ZKB/C6E49AE5,8393204277,265.64,,19.11.2025,4988.49
19.11.2025,Hobby Supplies Purchase,ZKB/35FE83C1,3116480835,286.67,,19.11.2025,3485.58
20.11.2025,Doctor visit at Permanence Hauptbahnhof,ZKB/512CA73C,2886211327,49.79,,20.11.2025,7949.82
20.11.2025,Spotify Subscription,ZKB/94F16B9A,1879902108,272.69,,20.11.2025,4139.5
20.11.2025,Netflix Subscription,ZKB/8840A656,4983440862,197.22,,20.11.2025,3013.8
20.11.2025,Doctor visit at Permanence Hauptbahnhof,ZKB/AA51CD04,8939396138,75.35,,20.11.2025,-3668.99
21.11.2025,Mastercard Retail Purchase – Drogerie Müller,ZKB/8E2CD696,7774118222,237.3,,21.11.2025,7999.61
21.11.2025,Quarterly Tax Payment to Steueramt Zürich,ZKB/595D258C,6243927379,287.65,,21.11.2025,5375.16
21.11.2025,Parking Fee Zürich,ZKB/DDA8F02C,6027857097,117.2,,21.11.2025,3809.0
21.11.2025,Swisscom Mobile Subscription,ZKB/FAC8DDCF,0953999795,110.83,,21.11.2025,-2879.93
21.11.2025,Credit Card Bill Payment,ZKB/894DB8AF,5168146965,78.0,,21.11.2025,-4037.98
21.11.2025,TWINT Purchase – Dentist visit at Zurich Dentistry Group,ZKB/A8FB830F,6813837804,115.61,,21.11.2025,-4153.59
22.11.2025,Building Maintenance Fee,ZKB/7E05BCC6,9937934085,189.1,,22.11.2025,7176.8
23.11.2025,Denner Lebensmittel,ZKB/E5C794F5,9923664578,224.73,,23.11.2025,-144.54
24.11.2025,Gift purchase at Orell Füssli,ZKB/6BA67DED,5063273831,83.21,,24.11.2025,9016.79
24.11.2025,Dentist visit at Zurich Dentistry Group,ZKB/E5453210,1263455091,200.51,,24.11.2025,6768.26
24.11.2025,EWZ Electricity Bill,ZKB/F7165F7E,5896152690,36.75,,24.11.2025,3772.25
24.11.2025,Mastercard Retail Purchase – Swisscom Mobile Subscription,ZKB/DD11CE1E,8177673405,182.99,,24.11.2025,-671.22
24.11.2025,Pharmacy purchase at Amavita,ZKB/29D452DD,4946291909,121.49,,24.11.2025,-1085.02
25.11.2025,Rent payment to Wohnungsverwaltung Zürich,ZKB/55016446,0363927084,2400,,25.11.2025,9100
25.11.2025,EWZ Electricity Bill,ZKB/82873E5A,8030237595,46.06,,25.11.2025,8502.47
25.11.2025,TWINT Purchase – Parking Fee Zürich,ZKB/D85A4C59,9286775764,47.71,,25.11.2025,6720.55
25.11.2025,VISA Online Payment – Migros Einkauf,ZKB/EE9FF0E2,9359891280,251.38,,25.11.2025,1946.05
25.11.2025,Investment Transfer to Trading Account,ZKB/B7F6A53D,3480057743,51.0,,25.11.2025,-195.54
26.11.2025,Google Pay Transaction – Doctor visit at Permanence Hauptbahnhof,ZKB/FC7FE511,7139812201,130.73,,26.11.2025,161.77
27.11.2025,Swisscom Mobile Subscription,ZKB/7013DABF,7521809206,98.59,,27.11.2025,6259.8
27.11.2025,Parking Fee Zürich,ZKB/04739600,5889354665,138.84,,27.11.2025,5662.81
27.11.2025,Zürich Water Utility Payment,ZKB/0D0B1104,5221218044,289.58,,27.11.2025,2466.33
27.11.2025,Google Pay Transaction – Denner Lebensmittel,ZKB/3B6958BA,7586034013,267.04,,27.11.2025,-4420.63
28.11.2025,Coop Supermarkt Shopping,ZKB/857836C9,2988703682,40.36,,28.11.2025,4099.14
